Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
March for Truth; Knox County Indivisible,Demand investigation into Trump-Russia ties,1.0,90.0,2017-06-03,122,Galesburg,IL
March for Truth,Demand investigation into Trump-Russia ties,1.0,156.0,2017-06-03,122,Indianapolis,IN
March for Truth,Demand investigation into Trump-Russia ties,1.0,100.0,2017-06-03,122,Lexington,KY
March for Truth,Demand investigation into Trump-Russia ties,1.0,91.0,2017-06-03,122,New Orleans,LA
March for Truth,Demand investigation into Trump-Russia ties,1.0,200.0,2017-06-03,122,Boston,MA
March for Truth; Indivisible NoHo,Demand investigation into Trump-Russia ties,1.0,300.0,2017-06-03,122,Northampton,MA
March for Truth; Mainers for Accountable Leadership,Demand investigation into Trump-Russia ties,1.0,300.0,2017-06-03,122,Portland,ME
March for Truth,Demand investigation into Trump-Russia ties,1.0,300.0,2017-06-03,122,Portland ,ME
March for Truth,Demand investigation into Trump-Russia ties,1.0,300.0,2017-06-03,122,Detroit,MI
March for Truth,Demand investigation into Trump-Russia ties,1.0,80.0,2017-06-03,122,Grand Rapids,MI
Your Defending Fathers; Michigan Sons of Liberty Riders,Support open-carry laws and President Trump; possibly also counter protest nearby liberal protest,2.0,250.0,2017-06-23,142,Kalkaska,MI
March for Truth,Demand investigation into Trump-Russia ties,1.0,145.0,2017-06-03,122,Lansing,MI
Resist from Day One Coalition,anti-Trump,1.0,100.0,2017-06-01,120,Minneapolis,MN
March for Truth,Demand investigation into Trump-Russia ties,1.0,263.0,2017-06-03,122,Kansas City ,MO
March for Truth,Demand investigation into Trump-Russia ties,1.0,537.0,2017-06-03,122,St. Louis,MO
March for Truth,Demand investigation into Trump-Russia ties,1.0,100.0,2017-06-03,122,Helena,MT
March for Truth,Demand investigation into Trump-Russia ties,1.0,300.0,2017-06-03,122,Asheville,NC
March for Truth,Demand investigation into Trump-Russia ties,1.0,151.0,2017-06-03,122,Charlotte ,NC
March for Truth,Demand investigation into Trump-Russia ties,1.0,168.0,2017-06-03,122,Raleigh,NC
March for Truth,Demand investigation into Trump-Russia ties,1.0,52.0,2017-06-03,122,Omaha,NE
general protesters,anti-Trump; pro-Russia investigation,1.0,200.0,2017-06-03,122,Bedminster,NJ
March for Truth,Demand investigation into Trump-Russia ties,1.0,200.0,2017-06-03,122,Bedminster,NJ
March for Truth,Demand investigation into Trump-Russia ties,1.0,200.0,2017-06-03,122,Albuquerque,NM
March for Truth,Demand investigation into Trump-Russia ties,1.0,141.0,2017-06-03,122,Las Vegas,NV
March for Truth,Demand investigation into Trump-Russia ties,1.0,265.5,2017-06-03,122,Reno,NV
March for Truth,Demand investigation into Trump-Russia ties,1.0,56.0,2017-06-03,122,Buffalo,NY
March for Truth,Demand investigation into Trump-Russia ties,1.0,58.0,2017-06-03,122,Hyde Park,NY
general protesters,Oppose Trump agenda,1.0,115.0,2017-06-22,141,Kingston,NY
NYRenews,against Trumps withdrawal from Paris Accord,1.0,400.0,2017-06-01,120,New York,NY
New York State Immigrant Action Fund and MPower Change ,Against Trump's Islamophobic rhetoric; for solidarity with Muslim community ,1.0,200.0,2017-06-01,120,New York,NY
March for Truth,Demand investigation into Trump-Russia ties,1.0,950.0,2017-06-03,122,New York,NY
March for Truth,Demand investigation into Trump-Russia ties,1.0,94.0,2017-06-03,122,Syracuse,NY
March for Truth; United We Stand,Demand investigation into Trump-Russia ties,1.0,163.0,2017-06-03,122,Cincinnati,OH
March for Truth,Demand investigation into Trump-Russia ties,1.0,240.0,2017-06-03,122,Columbus,OH
March for Truth; Indivisible Eugene,Demand investigation into Trump-Russia ties,1.0,500.0,2017-06-03,122,Eugene,OR
March for Truth,Demand investigation into Trump-Russia ties,1.0,200.0,2017-06-03,122,Lincoln City,OR
March for Truth,Demand investigation into Trump-Russia ties,1.0,468.0,2017-06-03,122,Portland,OR
general protesters,Oppose fascism; counter protest Trump Free Speech rally,1.0,995.0,2017-06-04,123,Portland,OR
Patriot Prayer ,Trump Free Speech,2.0,352.0,2017-06-04,123,Portland ,OR
March for Truth,Demand investigation into Trump-Russia ties,1.0,71.0,2017-06-03,122,Harrisburg,PA
March for Truth,Demand investigation into Trump-Russia ties,1.0,403.0,2017-06-03,122,Philadelphia,PA
March for Truth,Demand investigation into Trump-Russia ties,1.0,1221.0,2017-06-03,122,Pittsburgh,PA
March for Truth,Demand investigation into Trump-Russia ties,1.0,79.5,2017-06-03,122,Pottstown,PA
March for Truth; RI Indivisible ,Demand investigation into Trump-Russia ties,1.0,107.0,2017-06-03,122,Providence,RI
March for Truth,Demand investigation into Trump-Russia ties,1.0,189.0,2017-06-03,122,Charleston,SC
March for Truth,Demand investigation into Trump-Russia ties,1.0,57.0,2017-06-03,122,Columbia,SC
March for Truth,Demand investigation into Trump-Russia ties,1.0,72.0,2017-06-03,122,Myrtle Beach,SC
March for Truth,Demand investigation into Trump-Russia ties,1.0,175.0,2017-06-03,122,Nashville,TN
March for Truth,Demand investigation into Trump-Russia ties,1.0,394.0,2017-06-03,122,Austin,TX
March for Truth,Demand investigation into Trump-Russia ties,1.0,146.0,2017-06-03,122,Dallas ,TX
March for Truth,Demand investigation into Trump-Russia ties,1.0,146.0,2017-06-03,122,Fort Worth,TX
March for Truth,Demand investigation into Trump-Russia ties,1.0,293.0,2017-06-03,122,Houston,TX
March for Truth,Demand investigation into Trump-Russia ties,1.0,209.0,2017-06-03,122,Salt Lake City ,UT
March for Truth; Indivisible Charlottesville,Demand investigation into Trump-Russia ties,1.0,85.0,2017-06-03,122,Charlottesville,VA
Indivisible Richmond; March for Truth,Demand investigation into Trump-Russia ties,1.0,285.5,2017-06-03,122,Richmond,VA
March for Truth,Demand investigation into Trump-Russia ties,1.0,93.0,2017-06-03,122,Montpelier,VT
March for Truth,Demand investigation into Trump-Russia ties,1.0,575.0,2017-06-03,122,Seattle,WA
March for Truth,Demand investigation into Trump-Russia ties,1.0,181.0,2017-06-03,122,Madison,WI
March for Truth,Demand investigation into Trump-Russia ties,1.0,98.0,2017-06-03,122,Milwaukee,WI
general protestors ,Protesting Trump's decision to end DACA; rallying for immigrants,1.0,50.0,2017-12-01,303,Des Moines,IA
general protestors,Protesting Trump's decision to end DACA; rallying for immigrants,1.0,200.0,2017-12-01,303,Red Bank,NJ
Native American Tribes ,Protesting Trump's monument reduction plan ,1.0,3500.0,2017-12-02,304,Salt Lake City ,UT
general protestors,Protesting Trump's decision to end DACA; rallying for immigrants,1.0,300.0,2017-12-02,304,Vista,CA
Navajo Nation; Native American Tribes ,Protesting Trump's monument reduction plan ,1.0,2000.0,2017-12-04,306,Salt Lake City ,UT 
Center For American Progress Action Fund,Protesting Trump's decision to end DACA; rallying for immigrants,1.0,66.0,2017-12-04,306,Washington ,DC
Sierra Club DC chapter,Protesting Trump's attacks on public land,1.0,141.0,2017-12-04,306,Washington ,DC
general protestors,Protesting Trump's decision to end DACA; rallying for immigrants,1.0,60.0,2017-12-05,307,Racine ,WI
general protestors,Protesting Trump's decision to end DACA; rallying for immigrants,1.0,200.0,2017-12-06,308,Boston,MA
general protestors,Protesting Trump's decision to end DACA; rallying for immigrants,1.0,200.0,2017-12-06,308,Las Vegas,NV
general protestors,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,200.0,2017-12-07,309,Chicago,IL
Rise and Resist,Protesting Trump administration,1.0,68.0,2017-12-07,309,New York ,NY 
Justice For Muslims Collective,Protesting Trump's Muslim ban,1.0,227.0,2017-12-07,309,Washington ,DC
general protestors,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,200.0,2017-12-08,310,Detroit,MI 
general protestors,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,200.0,2017-12-08,310,New York ,NY 
general protestors,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,100.0,2017-12-08,310,Rochester,NY 
Tampa DSA,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,94.0,2017-12-08,310,Tampa,FL
Florida Student Power Network,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,122.0,2017-12-08,310,Tampa,FL
general protestors,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,400.0,2017-12-08,310,Temple Terrace,FL
Muslims; General Protestors,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,200.0,2017-12-08,310,Washington ,DC
Pantsuit Nation Mississippi Chapter ,Protesting Trump's visit,1.0,150.0,2017-12-09,311,Jackson ,MS
general protestors,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,200.0,2017-12-09,311,Kansas City,MO
general protestors,Protesting Trump's attacks on public land,1.0,100.0,2017-12-09,311,Prescott,AZ
5th graders,Protesting Trump's immigration policy,1.0,100.0,2017-12-10,312,Boston,MA
The Palestine Right to Return,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,650.0,2017-12-10,312,Los Angeles,CA
Anti-War Committe; Minnesota immigrant Rights Action Coalition,Protesting Trump administration human right abuses,1.0,239.0,2017-12-10,312,Minneapolis,MN
Students for Justice in Palestine,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,50.0,2017-12-10,312,San Antonio,TX
general protestors,Protesting Trump's attacks on public land,1.0,100.0,2017-12-12,314,Salt Lake City ,UT
Rise and Resist,Protesting Trump administration,1.0,62.0,2017-12-14,316,New York ,NY 
New Orleans Palestinian Solidarity Committe,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,98.0,2017-12-15,317,New Orleans,LA
general protestors,Protesting Trump's list of banned words,1.0,81.0,2017-12-15,317,Washington ,DC
general protestors,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,80.0,2017-12-16,318,Oklahoma City,OK
general protestors,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,555.0,2017-12-17,319,Boston,MA
Bridgeport Islamic Community Center,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,75.0,2017-12-17,319,Bridgeport,CT
Anti-War Committee,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,116.5,2017-12-18,320,Minneapolis,MN
general protestors,Protesting Trump's decision to recognize Jerusalem as the capital of Israel,1.0,300.0,2017-12-19,321,Dearborn,MI 
HANA Center ,Protesting Trump's decision to end DACA; rallying for immigrants,1.0,58.0,2017-12-19,321,Washington ,DC
" March And Rally Los Angeles, Democratic Socialists of America - Los Angeles, Resilience OC, Inland Empire - Immigrant Youth Collective, Central American Resource Center (CARECEN-LA), Dream Team Los Angeles, California Immigrant Youth Justice Alliance, Orange County Immigrant Youth United",Protest Trump’s anti-immigrant attacks,1.0,83.5,2017-12-20,322,Los Angeles,CA
general protestors,Protesting Trump's deicision to end DACA; rallying for immigrants,1.0,600.0,2017-12-20,322,Washington ,DC
Backbone Campaign,Protesting Trump administration,1.0,113.0,2017-12-30,332,New York ,NY 
general protestors,demand Trump tax returns,1,400.0,2017-04-15,73,Phoenix,AZ
