Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
New Sanctuary Coalition,protest arrest and deportation; protest ICE actions,1.0,62.0,2018-01-18,351,New York,NY
New Mexico DREAM Team,Rallying for DREAM Act,1.0,5000.0,2018-01-19,352,Albuquerque,NM
general protestors,Protesting ICE,1.0,100.0,2018-01-19,352,Athens,GA
general protestors,Rallying for DREAM Act,1.0,100.0,2018-01-19,352,Madison,WI
general protestors,Rallying for DREAM Act,1.0,100.0,2018-01-19,352,Washington,DC
general protestors,Rallying for DREAM Act,1.0,800.0,2018-01-20,353,Elgin,IL
general protestors,Protesting the custody of youngston resident by ICE,1.0,200.0,2018-01-20,353,Youngstown,OH
Brazos Interfaith Immigration Network,Protesting ICE for breaking up families,1.0,100.0,2018-01-22,355,Bryan,TX
general protestors,Rallying for DREAM Act,1.0,75.0,2018-01-23,356,New York,NY
general protestors,protesting deportation of local man,1.0,75.0,2018-01-25,358,Hartford,CT
general protestors,Protesting the 1st aniversary of Trump's Travel Ban,1.0,62.0,2018-01-26,359,New York,NY
Reform California,Rallying for DREAM Act,1.0,100.0,2018-01-26,359,San Francisco,CA
General Protestors,Protesting Trump's travel ban,1.0,100.0,2018-01-27,360,Greensboro,NC
General Protestors,Protesting ICE,1.0,500.0,2018-01-28,361,Metuchen,NJ
The Workers' Center of CNY,Protesting travel ban,1.0,150.0,2018-01-29,362,Syracuse,NY
general protestors,Protesting deportations ,1.0,118.0,2018-01-30,363,Cleveland,OH
general protestors,Protesting deportation of local man,1.0,109.5,2018-01-31,364,Cleveland,OH
