Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
general protesters,Supporting Planned Parenthood,1.0,100.0,2017-02-11,10,San Antonio,TX
general protesers,Defunding Planned Parenthood,2.0,70.0,2017-02-11,10,Charlottesville,VA
general protesers,Supporting Planned Parenthood,1.0,350.0,2017-02-11,10,Charlottesville,VA
general protesters,"Supporting Planned Parenthood, protesting lack of contact with congressman Dave Brat",1.0,100.0,2017-02-11,10,Glen Allen,VA
Love not Hate Tri-Cities group,"pro-choice, pro-Planned Parenthood",1.0,50.0,2017-02-11,10,Kennewick,WA
#ProtestPP Coalition,Defunding Planned Parenthood,2.0,150.0,2017-02-11,10,Kennewick,WA
general protesters,Supporting Planned Parenthood,1.0,300.0,2017-02-11,10,Kent,WA
general protestors,Defunding Planned Parenthood,2.0,100.0,2017-02-11,10,Wenatchee,WA
Pro-Life Wisconsin,Defunding Planned Parenthood,2.0,70.0,2017-02-11,10,West Allis,WI
general protesters,Supporting Planned Parenthood,1.0,200.0,2017-02-12,11,Glendale,AZ
general protesters,Defunding Planned Parenthood,2.0,200.0,2017-02-12,11,Glendale,AZ
New Jersey Citizen Action,Supporting Planned Parenthood,1.0,120.0,2017-02-15,14,Westfield,NJ
general protesters,Support Planned Parenthood,1.0,275.0,2017-02-20,19,Anchorage,AK
General Protest,pro-ACA; support Planned Parenthood,1.0,300.0,2017-02-25,24,Hackensak,NJ
50 Ways-Rockbridge.,Pro Planned Parenthood; Women's rights,1,200.0,2017-03-03,30,Lexington ,VA
Planned Parenthood,Pro Planned Parenthood,1,200.0,2017-03-04,31,Boston,MA
general protestors,Rallying for Planned Parenthood,1.0,200.0,2017-07-18,167,Seattle,WA
Operation Save America,Oppose protest buffer zone around last remaining abortion clinic in KY,2.0,175.0,2017-07-24,173,Louisville,KY
Ask Bevin About My Vag,Counter-protest; pro-choice,1.0,87.5,2017-07-26,175,Louisville,KY
Planned Parenthood of the Pacific Southwest office,Support Planned Parenthood and the ACA,1.0,50.0,2017-07-29,178,Palm Springs,CA
Our Lives on the Line,Oppose GOP healthcare plan; support Planned Parenthood,1.0,75.0,2017-07-29,178,San Diego,CA
Vice President Mike Pence; Focus on the Family,Defund Planned Parenthood,2.0,1650.0,2017-06-23,142,Colorado Springs,CO
