Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
general protestors,Protesting violence/racism in Charlottesville,1.0,1300.0,2017-08-13,193,Tucson,AZ
general protestors,Protesting violence/racism in Charlottesville,1.0,550.0,2017-08-13,193,Washington,DC
Indivisible CT; Women's March CT,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-13,193,West Hartford,CT
general protestors,Protesting violence/racism in Charlottesville,1.0,100.0,2017-08-13,193,Wethersfield,CT
general protestors,Protesting violence/racism in Charlottesville,1.0,250.0,2017-08-13,193,Willimantic,CT
Indivisible,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-13,193,Wilmington,DE
general protestors,Protesting violence/racism in Charlottesville,1.0,79.0,2017-08-13,193,Winchester,VA
SURJ Worcester,Protesting violence/racism in Charlottesville,1.0,450.0,2017-08-13,193,Worcester,MA
Ashland Center for Nonviolence; Ohio 7 Together ,Protesting violence/racism in Charlottesville,1.0,75.0,2017-08-14,194,Ashland,OH
Toleda NAACP,Protesting violence/racism in Charlottesville,1.0,350.0,2017-08-14,194,Maumee,OH
Minnesota Immigrant Rights Action Committee,Protesting violence/racism in Charlottesville,1.0,1000.0,2017-08-14,194,Minneapolis,MN
Oneonta NAACP,Protesting violence/racism in Charlottesville,1.0,150.0,2017-08-14,194,Oneonta,NY
Common Ground Coalition of Douglas County,Protesting violence/racism in Charlottesville,1.0,90.0,2017-08-14,194,Roseburg,OR
Sutherland Institute,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-14,194,Salt Lake City,UT
Utah League of Native American Voters; Multicultural Engagement for Utah,Protesting violence/racism in Charlottesville,1.0,1500.0,2017-08-14,194,Salt Lake City,UT
organizer Sawyer Ralph,Protesting violence/racism in Charlottesville,1.0,50.0,2017-08-14,194,Spokane ,WA
general protestors,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-14,194,Washington,DC
Indivisible Casper,"Protesting violence, racism in Charlottesville",1.0,80.0,2017-08-15,195,Casper,WY
general protestors,Oppose white supremacist violence in Charlottesville,1.0,200.0,2017-08-15,195,Dunkirk,NY
March on Fairbanks; Fairbanks Activist Forum; Fairbanks Climate Action Coalition; Fairbanks chapter of the NAACP,Condemn white supremacist violence,1.0,200.0,2017-08-15,195,Fairbanks,AK
organziers Loren Prince and Tree Janzen,We Believe in Peace; condemn white supremacist violence,1.0,75.0,2017-08-15,195,Green Bay,MI
Coalition of Concerned Citizens,Protesting the confederate statue,1.0,100.0,2017-08-15,195,Memphis,TN
Charleston chapter of Democratic Socialists of America,Remove the Calhoun Statue and Confederate Memorial,1.0,100.0,2017-08-16,196,Charleston,SC
general protestors,Protesting violence/racism in Charlottesville,1.0,2000.0,2017-08-16,196,Charlottesville,VA
Pegasus Institute,"One People, One Commonwealth rally against white supremacist violence",1.0,50.0,2017-08-16,196,Frankfort,KY
general protestors,anti-hate rally in response to white supremacist violence,1.0,200.0,2017-08-16,196,Jamestown,NY
Disrupt Norfolk VA,Disrupt Confederate Monuments ,1.0,150.0,2017-08-16,196,Norfolk,VA
"Philadelphians Organized to Witness, Empower & Rebuild",Philly Is Charlottesville March and Rally; Unmasking White Supremacy in Philadelphia,1.0,2100.0,2017-08-16,196,Philadelphia,PA
"Jewish Community Relations Council of the United Jewish Federation of Greater Stamford, New Canaan and Darien",Condemn white supremacist violence,1.0,100.0,2017-08-16,196,Stamford,CT
Board of Community Relations,Protesting violence/racism in Charlottesville,1.0,100.0,2017-08-16,196,Toledo,OH
general protestors,Supporting those turning themselves in connection to Monday's toppling of a confederate statue,1.0,100.0,2017-08-17,197,Durham,NC
CCDM,Rally against white supremacy,1.0,75.0,2017-08-17,197,Hartford,CT
State Rep. Hampton,Protesting violence/racism in Charlottesville,1.0,200.0,2017-08-17,197,Simsbury,CT
Coalition of Elgin Religious Leaders,"Rally against hate, racism, anti-semitism",1.0,250.0,2017-08-18,198,Elgin,IL
Pitt County NAACP Chapter,vigil in remembrance of Charlottesville; rally against racism and hatred; call for the removal of a confederate statue,1.0,100.0,2017-08-18,198,Greenville,NC
organizers Chris Brickhouse and Republican borough councilman Michael Kuznar,stand against white supremacy,1.0,350.0,2017-08-18,198,Phoenixville,PA
Portland's Resistence,Protesting violence/racism in Charlottesville,1.0,1000.0,2017-08-18,198,Portland,OR
LULAC; SEIU Local 521; United Farm Workers; American Civil Liberties Union; National Association for the Advancement of Colored People; Salinas Taking a Different Direction,stand up against racism,1.0,100.0,2017-08-18,198,Salinas,CA
Faith in the Valley,"condemn white supremacy following the incidents in Charlottesville, Virginia",1.0,60.0,2017-08-18,198,Stockton,CA
Tosa Together; Indivisible Tosa,"denounce the racism and violence displayed in Charlottesville, VA last weekend",1.0,50.0,2017-08-18,198,Wauwatosa ,WI
Act Yakima,proclaim opposition to racism in the wake of the white supremacist rally in Charlottesville,1.0,80.0,2017-08-18,198,Yakima ,WA
Georgia Alliance for Social Justice,"Protesting violence/racism in Charlottesville, Trump",1.0,2000.0,2017-08-19,199,Atlanta,GA
general protestors,against white supremacy,1.0,1100.0,2017-08-19,199,Austin,TX
general protestors,Rally for Love to oppose white supremacist violence ,1.0,200.0,2017-08-19,199,Beverly,MA
Boston Free Speech Coalition,Boston Free Speech white supremacist rally,2.0,50.0,2017-08-19,199,Boston,MA
Violence In Boston; Angie Camacho; Black Lives Matter Network; Black Lives Matter Cambridge; Black Lives Matter Boston,Fight Supremacy! Boston Counter-Protest & Resistance Rally,1.0,45000.0,2017-08-19,199,Boston,MA
Boulder chapter of Showing Up for Racial Justice,"show solidarity with the victims of last week's fatal attack on protesters who were opposing a white supremacist rally in Charlottesville, Va",1.0,200.0,2017-08-19,199,Boulder,CO
Montana Hate Free Zone ,against hate and the recent demonstrations across the U.S. involving white nationalists and neo-Nazis,1.0,150.0,2017-08-19,199,Bozeman,MT
Butte Rising Coalition,against hate and the recent demonstrations across the U.S. involving white nationalists and neo-Nazis,1.0,100.0,2017-08-19,199,Butte,MT
Charlotte Uprising,peace rally and vigil in response to the demonstrations promoting white supremacy ,1.0,200.0,2017-08-19,199,Charlotte,NC
general protestors,Protesting violence/racism in Charlottesville,1.0,2400.0,2017-08-19,199,Dallas,TX
organizer Sara Patenaude,call for removal of confederate monument,1.0,80.0,2017-08-19,199,Decatur,GA
Indivisible 50,Values Vigil Against Racism,1.0,100.0,2017-08-19,199,Escondido ,CA
Metro Atlantic Democratic Socialist; Athens for everyone,Protesting confederate statue,1.0,175.0,2017-08-19,199,Gainesville,GA
Black Lives Matter,Protesting confederate statue,1.0,350.0,2017-08-19,199,Houston,TX
Tennessee Valley Progressive Alliance; SURJ - Huntsville; the North Alabama Democratic Socialists of America,against racism; against Confederate monument,1.0,100.0,2017-08-19,199,Huntsville,AL
general protestors,against hate and racism,1.0,200.0,2017-08-19,199,Kansas City,MO
general protestors,Protesting racism; white supremacy,1.0,500.0,2017-08-19,199,Kittery,ME
Lynn United for Change; New Lynn Coalition; Essex County Community Organization,say no to racism and fascism,1.0,72.0,2017-08-19,199,Lynn,MA
Black Lives Matter,demand the removal of Confederate monuments in Memphis,1.0,200.0,2017-08-19,199,Memphis,TN
organizer Eddie Sanders Jr.,rally in hopes of closing the racial divide ,1.0,75.0,2017-08-19,199,Muskegon  Heights,MI
Take 'Em Down NOLA,Protesting violence/racism in Charlottesville,1.0,1500.0,2017-08-19,199,New Orleans,LA
general protestors,"Rally against racism, bigotry",1.0,50.0,2017-08-19,199,New York,NY
general protestors,"denounce racism in response to the gathering of white supremacists in Charlottesville, Va.",1.0,200.0,2017-08-19,199,Pullman,WA
general protestors,oppose Boston Free Speech white supremacist rally,1.0,50.0,2017-08-19,199,Rockland,ME
Black Lives Matter; Call to Action for Racial Equality,anti-racism rally,1.0,400.0,2017-08-20,200,Charleston,WV
 Unite Colorado Springs,Protesting violence/racism in Charlottesville,0.0,200.0,2017-08-20,200,Colorado Springs,CO
NAACP Hampton Chapter ,drop the names of Confederate leaders from schools,1.0,75.0,2017-08-20,200,Hampton,VA
general protestors,"Rally against hate, racism, anti-semitism",0.0,200.0,2017-08-20,200,Hillcrest,CA
general protestors,Protestig racism; white supremacy,0.0,500.0,2017-08-20,200,Kansas City,MO
Maine People's Alliance,Protesting racism; white supremacy,1.0,1200.0,2017-08-20,200,Portland,ME
general protestors,Vigil for Peace; against white supremacy,1.0,200.0,2017-08-20,200,Santa Maria,CA
America First-Team Manatee,Defend local confederate statue,2.0,200.0,2017-08-21,201,Bradenton,FL
Black Lives Matter Alliance Sarasota Manatee Chapter; Indivisible Bradenton Progressive; Answer Suncoast; Action Together,Call for removal of local confederate statue,1.0,200.0,2017-08-21,201,Bradenton,FL
"Black Student Alliance, U.Va. Students United, the Minority Rights Coalition and the National Association for the Advancement of Colored People at U.Va",March to Reclaim Our Grounds; protest the University and city’s response to the recent white nationalist torchlit march and “Unite the Right” rally,1.0,200.0,2017-08-21,201,Charlottesville,VA
Missouri State University NAACP chapter,Hate will not win; against white supremacy,1.0,200.0,2017-08-21,201,Springfield,MO
