Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
general protestors,Protesting Keystone XL pipeline,1.0,120.0,2017-11-19,291,Lincoln,NE
Rising Tide North America,Protesting energy company's investment in fossil fuels,1.0,100.0,2017-11-20,292,Canonsburg,PA
general protestors,Protesting fracking,1.0,100.0,2017-11-20,292,Pittsburgh,PA
general protestors,Protesting natural gas pipeline,1.0,50.0,2017-11-29,301,Chesapeake,VA
the 350 Madison group,stop climate change,1.0,50.0,2017-05-05,93,Madison,WI
350 Seattle,against Keystone XL pipeline,1.0,200.0,2017-05-08,96,Seattle,WA
general protestors,support addressing climate change; anti-Trump policies,1.0,99.5,2017-05-31,119,Lexington,KY
Food & Water Watch - New York,Protesting potential cuts to the EPA,1.0,54.0,2018-01-01,334,New York,NY
San Diego Climate Mobilization Coalition,Protesting inaction toward climate change,1.0,53.0,2018-01-07,340,San Diego,CA
Maryland Clean Energy Jobs Initiaitve,"Rallying for climate justice, against climate change",1.0,68.0,2018-01-10,343,Annapolis,MD
NO LNG Exports,Protesting climate change policy; rallying for stronger approach,1.0,249.0,2018-01-11,344,Salem,OR
